species	main_cell_type	sub_cell_type	marker_gene	evidence_type	note
Hs	T cells		CD3D	scRNA-seq canonical	Pan-T, mitochondria-safe; Luecken & Theis 2019
Hs	T cells		CD3E	scRNA-seq canonical	Pan-T backup; highly co-expressed with CD3D
Hs	T cells		TRAC	scRNA-seq canonical	TCR alpha constant; exclusive to T lineage in PBMC
Hs	T cells	CD4 T cells	CD4	scRNA-seq canonical	Helper T lineage; Zheng et al. 2017 Nat Commun
Hs	T cells	CD4 T cells	IL7R	scRNA-seq canonical	CD127; marks CD4 naive+memory, absent on Treg (CD127lo); Hao et al. 2021 Cell
Hs	T cells	CD8 T cells	CD8A	scRNA-seq canonical	Cytotoxic T co-receptor; Zheng et al. 2017 Nat Commun
Hs	T cells	CD8 T cells	CD8B	scRNA-seq canonical	Highly specific co-receptor for CD8 lineage; Zheng et al. 2017 Nat Commun
Hs	T cells	CD8 T cells	GZMK	scRNA-seq canonical	Granzyme K; CD8 effector/naive; largely absent in CD4; Hao et al. 2021 Cell
Hs	T cells	CD8 T cells	CCL5	scRNA-seq canonical	RANTES; preferentially expressed CD8 > CD4; Zheng et al. 2017 Nat Commun
Hs	T cells	Naive CD4 T cells	TCF7	scRNA-seq canonical	Naive/stem-like T; Gattinoni et al. 2011 Nat Med
Hs	T cells	Naive CD4 T cells	CCR7	scRNA-seq canonical	Lymph node homing; naive and central memory T
Hs	T cells	Naive CD4 T cells	SELL	scRNA-seq canonical	CD62L; naive T marker; Luecken & Theis 2019
Hs	T cells	Naive CD4 T cells	LEF1	scRNA-seq canonical	Wnt target; naive T; Gattinoni et al. 2011 Nat Med
Hs	T cells	Naive CD4 T cells	IL7R	scRNA-seq canonical	CD127; high on naive CD4, low on Treg; Hao et al. 2021 Cell
Hs	T cells	Naive CD8 T cells	TCF7	scRNA-seq canonical	Also marks naive CD8; Gattinoni et al. 2011 Nat Med
Hs	T cells	Naive CD8 T cells	CCR7	scRNA-seq canonical	Naive CD8 homing receptor; confirmed in UCB; Kikuta et al. 2025
Hs	T cells	Naive CD8 T cells	SELL	scRNA-seq canonical	CD62L on naive CD8; confirmed by Kikuta et al. 2025
Hs	T cells	Naive CD8 T cells	CD8A	scRNA-seq canonical	CD8 lineage marker; ensures separation from Naive CD4
Hs	T cells	Naive CD8 T cells	GZMK	scRNA-seq canonical	Present even in naive CD8; absent in CD4; Hao et al. 2021 Cell
Hs	T cells	Regulatory T cells (Treg)	FOXP3	scRNA-seq canonical	Master Treg TF; Hao et al. 2021 Cell
Hs	T cells	Regulatory T cells (Treg)	IL2RA	scRNA-seq canonical	CD25hi defining marker; Hao et al. 2021 Cell
Hs	T cells	Regulatory T cells (Treg)	IKZF2	scRNA-seq canonical	Helios; Treg stabilizer; Hao et al. 2021 Cell
Hs	T cells	Regulatory T cells (Treg)	CTLA4	scRNA-seq canonical	Treg effector molecule; Hao et al. 2021 Cell
Hs	T cells	TR1 cells	LAG3	scRNA-seq canonical	Lymphocyte activation gene 3; defining TR1 marker; Kikuta et al. 2025 Table 1 (CD49b+LAG3+)
Hs	T cells	TR1 cells	HAVCR2	scRNA-seq canonical	TIM3; co-expressed with LAG3 on TR1 cells; Roncarolo et al. 2018 Nat Rev Immunol
Hs	T cells	TR1 cells	ITGA2	scRNA-seq canonical	CD49b; flow cytometry TR1 definition marker; Kikuta et al. 2025 Table 1
Hs	T cells	MAIT cells	KLRB1	scRNA-seq canonical	CD161; most specific MAIT marker; Hao et al. 2021 Cell
Hs	T cells	MAIT cells	SLC4A10	scRNA-seq canonical	MAIT-defining gene; Hao et al. 2021 Cell
Hs	T cells	MAIT cells	NCR3	scRNA-seq canonical	NKp30; MAIT activation; Hao et al. 2021 Cell
Hs	B cells		CD19	scRNA-seq canonical	Pan-B; Luecken & Theis 2019
Hs	B cells		MS4A1	scRNA-seq canonical	CD20; pan-B exclusive; Zheng et al. 2017 Nat Commun
